orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
91,1,Morole—n-Uriangato ,Moroleon-Uriangato ,Morole—n-Uriangato ,Guanajuato,100mil - 500mil,75169,100063,99828,108669,1.445662441,273,1563,1871,1910,6.996336996,74050.06,1069112.72,,,,41.5,53,52688,2394,31.84823531,19357,193.4481277,27443,274.9028329,38297,352.4188131,2394,2394,3.9,2394
125,0,Acambaro,Acambaro,Acambaro,Guanajuato,50mil- 100mil,38224,55516,55082,57972,1.516638761,159,805,1281,1332,8.377358491,NA,149287.46,,,,42,68,31670,3871,101.2714525,13117,236.2742272,19635,356.4685378,27355,471.8657283,,,4,3.98
127,0,San Luis de la Paz,San Luis de la Paz,San Luis de la Paz,Guanajuato,50mil- 100mil,19306,46326,50260,56630,2.933284989,169,863,1000,1154,6.828402367,107058.73,472013.17,,,,49,64,31685,1920,99.45094789,10785,232.8066313,18211,362.3358536,25600,452.0572135,,,4.89,4.64
112,0,Valle de Santiago ,Valle de Santiago ,Valle de Santiago ,Guanajuato,50mil- 100mil,37645,58837,62121,68058,1.807889494,152,915,1011,1114,7.328947368,1038286.24,1413758.31,,,,46,53,34381,2896,76.92920707,13202,224.3826164,19268,310.168864,26466,388.8741955,,,4.24,4.53
123,0,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,50mil- 100mil,23143,50391,54843,59240,2.559737286,125,897,970,1009,8.072,9953641.84,1491700.42,,,,46,56,35487,1851,79.98098777,13116,260.2845746,21639,394.5626607,30125,508.5246455,,,4.86,4.52
118,0,Cortazar,Cortazar,Cortazar,Guanajuato,50mil- 100mil,35330,53886,57748,61658,1.745202378,130,790,818,841,6.469230769,2856998.14,6809731.17,,,,78,106,23484,2091,59.18482876,8167,151.5607022,12704,219.9903027,18856,305.8159525,,,4.24,4.46
55,1,La Piedad-P_njamo ,La Piedad-Penjamo ,La Piedad-P_njamo ,Guanajuato-Michoacan,100mil - 500mil,168713,229372,229289,249512,1.478913895,442,3063,3282,3309,7.486425339,227694.09,14665339.65,,,,47,52,46148,2436,14.43872138,19145,83.46703172,26850,117.1011257,37133,148.8225015,,,4.205,4.29
16,0,Acapulco,Acapulco,Acapulco,Guerrero,500mil - 1 millon,409336,791558,786830,863431,2.109345379,1389,9755,12750,13036,9.385169186,31797914.19,19689538.28,,,,81,72,301261,24256,59.25694295,128119,161.8567433,272053,345.7582959,247054,286.1305652,,,3.88,3.78
63,0,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Guerrero,100mil - 500mil,67498,148485,174423,197052,2.919375389,183,1915,2621,3188,17.42076503,257460.57,157720.92,,,,51,62,110715,7683,113.8255948,40627,273.610129,100279,574.9184454,88784,450.5612732,,,4.19,4.17
85,0,Iguala de la Independencia ,Iguala de la Independencia ,Iguala de la Independencia ,Guerrero,100mil - 500mil,66005,104759,110390,118468,1.794833725,134,1760,2141,2410,17.98507463,1263841.92,550669.59,,,,55,71,50420,4856,73.57018408,26088,249.0287231,39864,361.1196666,38659,326.3244083,,,3.98,3.99
