orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,remuneraciones_2014,remuneraciones_2009,remuneraciones_2000,remuneraciones_1980,autos_2014,autos_1980,autos_2000,autos_2005,autos_2010,tam_fam_2010,tam_fam_2005,tam_fam_2000,tam_fam_1980,pob_1980,pob_2000,pob_2005,pob_2010,area_1980,area_2000,area_2005,area_2010,dis_sub_2015,normativa
91,1,Moroleón-Uriangato ,Moroleon-Uriangato ,Moroleón-Uriangato ,Guanajuato,100mil - 500mil,53,41.5,,,52688,2394,19357,27443,38297,2394,3.9,2394,2394,75169,100063,99828,108669,273,1563,1871,1910,74050.06,
111,0,San Miguel de Allende ,San Miguel de Allende ,San Miguel de Allende ,Guanajuato,50mil- 100mil,64,60,,,38871,1603,13309,23048,32506,4.28,4.56,,,30003,59691,62034,69811,248,1037,1152,1956,179980.92,
112,0,Valle de Santiago ,Valle de Santiago ,Valle de Santiago ,Guanajuato,50mil- 100mil,53,46,,,34381,2896,13202,19268,26466,4.53,4.24,,,37645,58837,62121,68058,152,915,1011,1114,1038286.24,
118,0,Cortazar,Cortazar,Cortazar,Guanajuato,50mil- 100mil,106,78,,,23484,2091,8167,12704,18856,4.46,4.24,,,35330,53886,57748,61658,130,790,818,841,2856998.14,
123,0,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,50mil- 100mil,56,46,,,35487,1851,13116,21639,30125,4.52,4.86,,,23143,50391,54843,59240,125,897,970,1009,9953641.84,
125,0,Acambaro,Acambaro,Acambaro,Guanajuato,50mil- 100mil,68,42,,,31670,3871,13117,19635,27355,3.98,4,,,38224,55516,55082,57972,159,805,1281,1332,NA,
127,0,San Luis de la Paz,San Luis de la Paz,San Luis de la Paz,Guanajuato,50mil- 100mil,64,49,,,31685,1920,10785,18211,25600,4.64,4.89,,,19306,46326,50260,56630,169,863,1000,1154,107058.73,
55,1,La Piedad-Pénjamo ,La Piedad-Pénjamo ,La Piedad-Pénjamo ,Guanajuato-Michoacan,100mil - 500mil,52,47,,,46148,2436,19145,26850,37133,4.29,4.205,,,168713,229372,229289,249512,442,3063,3282,3309,227694.09,
16,0,Acapulco,Acapulco,Acapulco,Guerrero,500mil - 1 millon,72,81,,,301261,24256,128119,272053,247054,3.78,3.88,,,409336,791558,786830,863431,1389,9755,12750,13036,31797914.19,
63,0,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Guerrero,100mil - 500mil,62,51,,,110715,7683,40627,100279,88784,4.17,4.19,,,67498,148485,174423,197052,183,1915,2621,3188,257460.57,
85,0,Iguala de la Independencia ,Iguala de la Independencia ,Iguala de la Independencia ,Guerrero,100mil - 500mil,71,55,,,50420,4856,26088,39864,38659,3.99,3.98,,,66005,104759,110390,118468,134,1760,2141,2410,1263841.92,
113,0,Zihuatanejo ,Jose Azueta,Jose Azueta,Guerrero,50mil- 100mil,66,84,,,,1879,14344,28774,33535,3.65,3.76,,,6887,56853,62376,67408,124,607,689,871,126805.48,
133,0,Taxco de Alarcon,Taxco de Alarcon,Taxco de Alarcon,Guerrero,50mil- 100mil,53,42,,,73387,2659,14931,28333,43422,3.71,4.01,,,36315,50488,50415,52217,162,877,996,1000,21858.65,
32,0,Pachuca,Pachuca,Pachuca,Hidalgo,500mil - 1 millon,69,86,,,175759,24923,77469,119317,159206,3.66,3.76,,,135248,375022,438692,512196,595,7918,10818,12582,11757765.97,
56,1,Tulancingo ,Tulancingo ,Tulancingo ,Hidalgo,100mil - 500mil,59,56,,,75764,7138,28528,48302,67585,3.91,4.07,,,70782,193638,204708,239579,278,5050,5718,6479,1334429.1,
61,1,Tula ,Tula ,Tula ,Hidalgo,100mil - 500mil,122,94,,,50161,5788,23783,34001,45036,3.73,3.86,,,57604,169901,184691,205812,323,6340,7111,7709,NA,
2,0,Guadalajara,Guadalajara,Guadalajara,Jalisco,1 millon +,95,90,,,858705,270513,475897,688064,834032,3.95,3.98,,,2244715,3699136,4095853,4434878,12726,39795,43045,48585,12902871.38,
75,1,Ocotlán,Ocotlan,Ocotlán,Jalisco,100mil - 500mil,70,52,,,37478,4338,15899,22756,32571,4.03,4.03,,,59196,125027,133157,141375,380,2083,2179,2384,13191432.75,
96,0,Lagos de Moreno ,Lagos de Moreno ,Lagos de Moreno ,Jalisco,50mil- 100mil,88,73,,,44113,3988,13850,25278,38765,4.17,4.5,,,44223,79592,92716,98206,287,1542,1808,1976,11934173.54,
97,1,Ciudad Guzmán ,Zapotlan el Grande,Zapotlán el Grande,Jalisco,50mil- 100mil,61,50,,,,4781,18436,26998,36281,,3.94,,,60938,85118,93609,97750,489,1213,1237,1407,70324.32,
100,0,Tepatitlán de Morelos ,Tepatitlan de Morelos ,Tepatitlán de Morelos ,Jalisco,50mil- 100mil,67,59,,,69402,4628,29285,45651,62468,4.09,4.28,,,41813,74262,82975,91959,245,1453,1665,2011,972054.04,
134,0,Arandas,Arandas,Arandas,Jalisco,50mil- 100mil,58,52,,,30366,2000,18148,27103,25649,3.95,4.35,,,19835,39478,46099,52175,153,816,918,952,966076.59,
41,1,Puerto Vallarta ,Puerto Vallarta ,Puerto Vallarta ,Jalisco-Nayarit,100mil - 500mil,68,70,,,102665,6812,29891,52685,84087,3.71,3.85,,,57028,244536,304107,379886,285,5070,5819,6242,2100930.57,
52,0,Uruapan ,Uruapan ,Uruapan ,Michoacan,100mil - 500mil,69,58,,,131114,13831,52243,71719,101814,3.98,4.13,,,122828,232252,246852,276839,931,3418,3546,3839,159447.75,
54,1,Zamora-Jacona ,Zamora-Jacona ,Zamora-Jacona ,Michoacan,100mil - 500mil,88,31,,,91880,15053,43527,58197,90566,3.89,3.97,,,148721,216048,230777,250113,660,3096,3141,3405,21968711.26,
78,0,Ciudad Lázaro Cárdenas ,Lazaro Cardenas ,Lázaro Cárdenas ,Michoacan,100mil - 500mil,96,79,,,70764,4829,23776,36364,56286,3.8,3.97,,,94753,126828,126709,137306,181,5488,5754,5753,1329773.25,
95,0,Apatzingán de la Constitución ,Apatzingan de la Constitucion ,Apatzingán de la Constitución ,Michoacan,50mil- 100mil,63,52,,,51010,5736,21278,29786,39324,4.1,4.21,,,55522,93756,93180,99010,765,1613,1699,1730,560906.7,
101,0,Zitácuaro ,Zitacuaro ,Zitácuaro ,Michoacan,50mil- 100mil,58,47,,,104300,5362,25292,43802,97742,4.09,4.42,,,47520,81700,83701,90520,241,2309,2340,2465,136386.56,
114,0,Sahuayo de Morelos ,Sahuayo de Morelos ,Sahuayo de Morelos ,Michoacan,50mil- 100mil,56,42,,,40791,3661,12381,17337,28413,3.98,4.17,,,43258,57827,59316,64431,232,1190,1200,1270,7071538.82,
119,0,Ciudad Hidalgo,Ciudad Hidalgo,Ciudad Hidalgo,Michoacan,50mil- 100mil,60,43,,,51869,2200,19269,28504,45957,4.2,4.46,,,32311,54854,57773,60542,184,1081,1099,1289,66062.24,
129,0,Patzcuaro,Patzcuaro,Patzcuaro,Michoacan,50mil- 100mil,55,44,,,29803,4029,11423,16201,24396,4.18,4.33,,,32902,47993,51124,55298,466,901,928,979,844041.23,
