orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,pob_2000,pob_2005,pob_2010,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010
30,0,Victoria de Durango,Victoria,Victoria,Durango,500mil - 1 millon,"257,915","427,135","463,830","518,709",2.0,984,"5,189","5,603","6,049",6.1,52027181.2,42102978.78,1,,,69,83,225751,"1,693",7,"4,294",10,"6,641",14,"8,032",15,,,4.04,3.89
5,0,Toluca,Toluca,Toluca,Estado de Mexico,1 millon +,"568,004","1,540,452","1,710,766","1,936,126",3.4,"1,309","29,928","32,456","18,993",14.5,281297.28,7907490.08,,,,136,116,361682,51545,91,178995,116,136450,80,257797,133,,,4.12,4.13
71,0,Tianguistenco ,Tianguistenco ,Tianguistenco ,Estado de Mexico,100mil - 500mil,"38,868","127,413","137,567","157,944",4.1,168,"2,161","2,259","2,610",15.5,29090.9,20000,,,,143,106,16894,0,0,"5,742",45,"5,815",42,"10,935",69,,,4.17,4.55
7,0,León,Leon,León,Guanajuato,1 millon +,"732,845","1,269,179","1,425,210","1,609,504",2.2,"2,502","12,327","14,999","17,031",6.8,174407399.3,137654748.9,,,,77,83,460462,"47,751",65,"172,263",136,"259,257",182,"362,300",225,,,4.41,4.31
29,0,Celaya,Celaya,Celaya,Guanajuato,500mil - 1 millon,"141,675","496,541","535,711","602,045",4.2,967,"5,547","6,641","7,484",7.7,28519357.05,39429342.66,,,,96,100,156321,22754,161,59806,120,89911,168,127529,212,,,4.09,3.91
38,0,Irapuato ,Irapuato ,Irapuato ,Guanajuato,100mil - 500mil,"170,138","326,973","351,308","393,862",2.3,633,"4,001","4,660","4,917",7.8,13181740.04,26374362.27,,,,70,83,158894,"19,389",114,"59,140",181,"86,065",245,"122,483",311,,,4.32,4.31
68,0,Salamanca ,Salamanca ,Salamanca ,Guanajuato,100mil - 500mil,"96,703","137,000","143,838","160,169",1.7,405,"2,499","2,628","2,710",6.7,12206204.28,16087669.12,,,,136,227,24783,"11,412",118,"35,955",262,"52,018",362,"71,223",445,,,4.07,3.94
64,1,San Francisco del Rincón ,San Francisco del Rincon ,San Francisco del Rincón ,Guanajuato,100mil - 500mil,"66,575","145,017","159,127","182,365",2.7,325,"2,192","2,265","2,369",7.3,1242245.06,14521519.82,,,,50,60,42225,"2,473",37,"15,476",107,"23,446",147,"32,938",181,,,4.41,4.43
111,0,San Miguel de Allende ,San Miguel de Allende ,San Miguel de Allende ,Guanajuato,50mil- 100mil,"30,003","59,691","62,034","69,811",2.3,248,"1,037","1,152","1,956",7.9,179980.92,117118.29,,,,60,64,38871,"1,603",53,"13,309",223,"23,048",372,"32,506",466,,,4.56,4.28
90,0,Guanajuato ,Guanajuato ,Guanajuato ,Guanajuato,100mil - 500mil,"48,981","93,513","101,564","110,011",2.2,182,"1,414","1,841","1,921",10.6,785201.26,823238.41,,,,182,77,61664,"9,663",197,"20,626",221,"32,503",320,"49,522",450,,,4.26,4.04
91,1,Moroleón-Uriangato ,Moroleon-Uriangato ,Moroleón-Uriangato ,Guanajuato,100mil - 500mil,"75,169","100,063","99,828","108,669",1.4,273,"1,563","1,871","1,910",7.0,74050.06,1069112.72,,,,41.5,53,52688,"2,394",32,"19,357",193,"27,443",275,"38,297",352,"2,394","2,394",4,"2,394"
125,0,Acambaro,Acambaro,Acambaro,Guanajuato,50mil- 100mil,"38,224","55,516","55,082","57,972",1.5,159,805,"1,281","1,332",8.4,NA,149287.46,,,,42,68,31670,"3,871",101,"13,117",236,"19,635",356,"27,355",472,,,4,3.98
127,0,San Luis de la Paz,San Luis de la Paz,San Luis de la Paz,Guanajuato,50mil- 100mil,"19,306","46,326","50,260","56,630",2.9,169,863,"1,000","1,154",6.8,107058.73,472013.17,,,,49,64,31685,1920,99,10785,233,18211,362,25600,452,,,4.89,4.64
112,0,Valle de Santiago ,Valle de Santiago ,Valle de Santiago ,Guanajuato,50mil- 100mil,"37,645","58,837","62,121","68,058",1.8,152,915,"1,011","1,114",7.3,1038286.24,1413758.31,,,,46,53,34381,"2,896",77,"13,202",224,"19,268",310,"26,466",389,,,4.24,4.53
123,0,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Dolores Hidalgo Cuna de la Independencia Nacional,Guanajuato,50mil- 100mil,"23,143","50,391","54,843","59,240",2.6,125,897,970,"1,009",8.1,9953641.84,1491700.42,,,,46,56,35487,"1,851",80,"13,116",260,"21,639",395,"30,125",509,,,4.86,4.52
118,0,Cortazar,Cortazar,Cortazar,Guanajuato,50mil- 100mil,"35,330","53,886","57,748","61,658",1.7,130,790,818,841,6.5,2856998.14,6809731.17,,,,78,106,23484,2091,59,8167,152,12704,220,18856,306,,,4.24,4.46
55,1,La Piedad-Pénjamo ,La Piedad-Penjamo ,La Piedad-Pénjamo ,Guanajuato-Michoacan,100mil - 500mil,"168,713","229,372","229,289","249,512",1.5,442,"3,063","3,282","3,309",7.5,227694.09,14665339.65,,,,47,52,46148,"2,436",14,"19,145",83,"26,850",117,"37,133",149,,,4.205,4.29
16,0,Acapulco,Acapulco,Acapulco,Guerrero,500mil - 1 millon,"409,336","791,558","786,830","863,431",2.1,"1,389","9,755","12,750","13,036",9.4,31797914.19,19689538.28,,,,81,72,301261,"24,256",59,"128,119",162,"272,053",346,"247,054",286,,,3.88,3.78
63,0,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Chilpancingo de los Bravo ,Guerrero,100mil - 500mil,"67,498","148,485","174,423","197,052",2.9,183,"1,915","2,621","3,188",17.4,257460.57,157720.92,,,,51,62,110715,"7,683",114,"40,627",274,"100,279",575,"88,784",451,,,4.19,4.17
85,0,Iguala de la Independencia ,Iguala de la Independencia ,Iguala de la Independencia ,Guerrero,100mil - 500mil,"66,005","104,759","110,390","118,468",1.8,134,"1,760","2,141","2,410",18.0,1263841.92,550669.59,,,,55,71,50420,"4,856",74,"26,088",249,"39,864",361,"38,659",326,,,3.98,3.99
133,0,Taxco de Alarcon,Taxco de Alarcon,Taxco de Alarcon,Guerrero,50mil- 100mil,"36,315","50,488","50,415","52,217",1.4,162,877,996,"1,000",6.2,21858.65,96613.1,,,,42,53,73387,"2,659",73,"14,931",296,"28,333",562,"43,422",832,,,4.01,3.71
113,0,Zihuatanejo ,Jose Azueta,Jose Azueta,Guerrero,50mil- 100mil,"6,887","56,853","62,376","67,408",9.8,124,607,689,871,7.0,126805.48,40176.03,,,,84,66,,"1,879",273,"14,344",252,"28,774",461,"33,535",497,,,3.76,3.65
32,0,Pachuca,Pachuca,Pachuca,Hidalgo,500mil - 1 millon,"135,248","375,022","438,692","512,196",3.8,595,"7,918","10,818","12,582",21.1,11757765.97,8632062.81,,,,86,69,175759,"24,923",184,"77,469",207,"119,317",272,"159,206",311,,,3.76,3.66
61,1,Tula ,Tula ,Tula ,Hidalgo,100mil - 500mil,"57,604","169,901","184,691","205,812",3.6,323,"6,340","7,111","7,709",23.9,NA,638109.39,,,,94,122,50161,"5,788",100,"23,783",140,"34,001",184,"45,036",219,,,3.86,3.73
56,1,Tulancingo ,Tulancingo ,Tulancingo ,Hidalgo,100mil - 500mil,"70,782","193,638","204,708","239,579",3.4,278,"5,050","5,718","6,479",23.3,1334429.1,22791502.19,,,,56,59,75764,"7,138",101,"28,528",147,"48,302",236,"67,585",282,,,4.07,3.91
2,0,Guadalajara,Guadalajara,Guadalajara,Jalisco,1 millon +,"2,244,715","3,699,136","4,095,853","4,434,878",2.0,"12,726","39,795","43,045","48,585",3.8,12902871.38,8730671.7,,,,90,95,858705,270513,121,475897,129,688064,168,834032,188,,,3.98,3.95
75,1,Ocotlán,Ocotlan,Ocotlán,Jalisco,100mil - 500mil,"59,196","125,027","133,157","141,375",2.4,380,"2,083","2,179","2,384",6.3,13191432.75,207301.54,,,,52,70,37478,"4,338",73,"15,899",127,"22,756",171,"32,571",230,,,4.03,4.03
100,0,Tepatitlán de Morelos ,Tepatitlan de Morelos ,Tepatitlán de Morelos ,Jalisco,50mil- 100mil,"41,813","74,262","82,975","91,959",2.2,245,"1,453","1,665","2,011",8.2,972054.04,0,,,,59,67,69402,"4,628",111,"29,285",394,"45,651",550,"62,468",679,,,4.28,4.09
96,0,Lagos de Moreno ,Lagos de Moreno ,Lagos de Moreno ,Jalisco,50mil- 100mil,"44,223","79,592","92,716","98,206",2.2,287,"1,542","1,808","1,976",6.9,11934173.54,22601862.01,,,,73,88,44113,"3,988",90,"13,850",174,"25,278",273,"38,765",395,,,4.5,4.17
97,1,Ciudad Guzmán ,Zapotlan el Grande,Zapotlán el Grande,Jalisco,50mil- 100mil,"60,938","85,118","93,609","97,750",1.6,489,"1,213","1,237","1,407",2.9,70324.32,935244.45,,,,50,61,,"4,781",78,"18,436",217,"26,998",288,"36,281",371,,,3.94,
134,0,Arandas,Arandas,Arandas,Jalisco,50mil- 100mil,"19,835","39,478","46,099","52,175",2.6,153,816,918,952,6.2,966076.59,3863381.37,,,,52,58,30366,2000,101,18148,460,27103,588,25649,492,,,4.35,3.95
41,1,Puerto Vallarta ,Puerto Vallarta ,Puerto Vallarta ,Jalisco-Nayarit,100mil - 500mil,"57,028","244,536","304,107","379,886",6.7,285,"5,070","5,819","6,242",21.9,2100930.57,300003.96,,,,70,68,102665,"6,812",119,"29,891",122,"52,685",173,"84,087",221,,,3.85,3.71
,0,Morelia ,Morelia,Morelia,Michoacan,500mil - 1 millon,"353,055","679,109","755,041","829,625",2.3,"1,633","8,300","9,095","10,120",6.2,,50217158.35,,,,87,86,,"23,736",67,"174,701",257,"261,353",346,"349,064",421,,,3.93,3.84
78,0,Ciudad Lázaro Cárdenas ,Lazaro Cardenas ,Lázaro Cárdenas ,Michoacan,100mil - 500mil,"94,753","126,828","126,709","137,306",1.4,181,"5,488","5,754","5,753",31.8,1329773.25,4050029.71,,,,79,96,70764,"4,829",51,"23,776",187,"36,364",287,"56,286",410,,,3.97,3.8
52,0,Uruapan ,Uruapan ,Uruapan ,Michoacan,100mil - 500mil,"122,828","232,252","246,852","276,839",2.3,931,"3,418","3,546","3,839",4.1,159447.75,6378201.72,,,,58,69,131114,"13,831",113,"52,243",225,"71,719",291,"101,814",368,,,4.13,3.98
54,1,Zamora-Jacona ,Zamora-Jacona ,Zamora-Jacona ,Michoacan,100mil - 500mil,"148,721","216,048","230,777","250,113",1.7,660,"3,096","3,141","3,405",5.2,21968711.26,28345196.32,,,,31,88,91880,"15,053",101,"43,527",201,"58,197",252,"90,566",362,,,3.97,3.89
