orden reporte,zm_flag,nombre_zm,nombre_zm_match_sina,nombre_zm_match,estado,clasificacion,pob_1980,den_1980,pob_2000,den_2000,pob_2005,den_2005,pob_2010,den_2010,den_change,cambio_pob,area_1980,area_2000,area_2005,area_2010,cambio_area,sub_2015,sub_2010,sub_2010_nueva_eco,normativa,remuneraciones_1980,remuneraciones_2000,remunera_2009,remunera_2014,autos_2014,autos_1980,tasamoto_1980,autos_2000,tasamoto_2000,autos_2005,tasamoto_2005,autos_2010,tasamoto_2010,tam_fam_1980,tam_fam_2000,tam_fam_2005,tam_fam_2010,cambio_fam,PIB_2010
104,0,Ciudad Mante ,El Mante ,El Mante ,Tamaulipas,50mil- 100mil,70647,116,80533,49,81884,48,84787,48,0.42,1.2,611,1642,1701,1760,2.9,2990371.98,0,0,,,,58,73,38283,7565,107,22902,284,30667,375,33927,400,,,3.55,3.46,0.974647887,
17,0,Tampico,Tampico,Tampico,"Tamaulipas, Veracruz",500mil - 1 millon,436900,150,746417,52,803196,54,859419,56,0.37,2,2906,14385,14905,15471,5.3,2053164.12,6319788.06,6319788.06,,,,92,71,105457,22279,51,65991,88,95209,119,89559,104,,,3.58,3.45,0.963687151,91088656.85
33,1,Tlaxcala-Apizaco,Tlaxcala-Apizaco,Tlaxcala-Apizaco,Tlaxcala,100mil - 500mil,131837,306,408401,17,457655,19,499567,20,0.07,3.8,431,23478,23874,24630,57.1,4455443.88,5644849.59,5644849.59,,,,79.5,67,59962,9179,70,33174,81,58234,127,94002,188,,,4,3.87,0.978481013,#N/A
124,0,Huamantla,Huamantla,Huamantla,Tlaxcala,50mil- 100mil,21944,100,46195,22,53459,26,58912,24,0.24,2.7,219,2081,2083,2435,11.1,1502068.33,5062920.24,5062920.24,,,,56,67,28524,1623,74,9256,200,14050,263,19813,336,,,4.62,4.34,0.939393939,10595652.81
20,0,Veracruz,Veracruz,Veracruz,Veracruz,500mil - 1 millon,413411,225,687820,108,751006,108,811671,105,0.46,2,1838,6355,6936,7765,4.2,243604140.4,132379551,132379551,,,,112,138,215746,40795,99,73110,106,122063,163,183669,226,,,3.46,3.38,0.976878613,#N/A
27,0,Xalapa,Xalapa,Xalapa,Veracruz,500mil - 1 millon,263400,287,554990,82,595043,83,666535,84,0.29,2.5,917,6749,7161,7927,8.6,1166135.68,13908176.7,13908176.7,,,,76,61,178023,22003,84,68472,123,104723,176,156873,235,,,3.63,3.57,0.983471074,#N/A
31,0,Poza Rica,Poza Rica,Poza Rica,Veracruz,500mil - 1 millon,344984,207,467258,87,481389,82,513518,84,0.41,1.5,1664,5379,5871,6101,3.7,269163.92,794511.71,794511.71,,,,131,173,86331,11241,33,35011,75,53519,111,75649,147,,,3.7,3.72,1.005405405,40300656.24
37,1,Orizaba ,Orizaba ,Orizaba ,Veracruz,100mil - 500mil,209247,186,381730,59,395899,57,427406,59,0.32,2,1124,6506,6906,7246,6.4,132124.48,1132832.18,1132832.18,,,,65,78,43369,6105,29,18017,47,27049,68,37526,88,,,3.56,3.56,1,#N/A
42,1,Minatitlàn ,Minatitlan ,Minatitlàn ,Veracruz,100mil - 500mil,217025,102,323389,42,330781,43,356137,43,0.42,1.6,2130,7631,7686,8292,3.9,367505.85,771946.49,771946.49,,,,165,293,55560,9873,45,21612,67,32986,100,46261,130,,,3.74,3.48,0.930481283,212523206.8
43,1,Coatzacoalcos ,Coatzacoalcos ,Coatzacoalcos ,Veracruz,100mil - 500mil,207746,246,307724,50,321182,51,347257,52,0.21,1.7,845,6141,6356,6625,7.8,37153320.19,52690359.73,52690359.73,,,,157,213,112225,23472,113,39977,130,65063,203,91189,263,,,3.58,3.45,0.963687151,26691311.82
46,1,CÑrdoba ,Cordoba ,CÑrdoba ,Veracruz,100mil - 500mil,156076,173,276553,73,293768,77,316032,74,0.42,2,901,3801,3835,4298,4.8,5514674.77,7946442.57,7946442.57,,,,63,70,63015,15125,97,25686,93,39895,136,54750,173,,,3.75,3.6,0.96,18391606.83
89,1,Acayucan ,Acayucan ,Acayucan ,Veracruz,100mil - 500mil,52106,96,102992,71,105552,71,112996,71,0.74,2.2,544,1447,1480,1584,2.9,1119605.56,1053298.92,1053298.92,,,,47,57,20470,1898,36,6304,61,10320,98,15416,136,,,3.95,3.79,0.959493671,#N/A
92,0,TÏxpam de RodrÕguez Cano ,Tuxpam de Rodriguez Cano ,TÏxpam de RodrÕguez Cano ,Veracruz,100mil - 500mil,56037,262,93531,45,100586,46,108418,47,0.18,1.9,214,2068,2185,2299,10.7,5340210.39,1427131.21,1427131.21,,,,73,93,34115,5834,104,11891,127,19939,198,28144,260,,,3.76,3.65,0.970744681,16025195.3
105,0,MartÕnez de la Torre ,Martinez de la Torre ,MartÕnez de la Torre ,Veracruz,50mil- 100mil,25837,107,65505,47,72765,46,78219,48,0.45,3,241,1393,1576,1623,6.7,70324.32,1506840.62,1506840.62,,,,48,62,27965,5194,201,12052,184,19415,267,26264,336,,,3.8,3.63,0.955263158,338128140.2
117,0,San Andr_s Tuxtla,San Andres Tuxtla,San Andr_s Tuxtla,Veracruz,50mil- 100mil,40412,139,54853,75,58757,79,61769,73,0.52,1.5,290,735,748,849,2.9,4992822.71,4188097.05,4188097.05,,,,46,58,16965,2762,68,5182,94,9250,157,14571,236,,,4.12,3.92,0.951456311,36948628.18
12,0,Merida,Merida,Merida,Yucatan,500mil - 1 millon,443918,93,803920,43,897740,46,973046,43,0.46,2.2,4775,18757,19687,22598,4.7,74693971.63,88042949.13,88042949.13,,,,70,80,466473,65143,147,171552,213,269306,300,378852,389,,,3.74,3.58,0.957219251,1075791787
47,1,Zacatecas-Guadalupe ,Zacatecas-Guadalupe ,Zacatecas-Guadalupe ,Zacatecas,100mil - 500mil,140166,287,242720,85,271965,79,309660,79,0.28,2.2,489,2846,3457,3908,8,,21063547.66,21063547.66,,,,61.5,75.5,59983,7738,55,63598,262,93244,343,131351,424,,,4.07,3.81,0.936117936,#N/A
82,0,Fresnillo ,Fresnillo ,Fresnillo ,Zacatecas,100mil - 500mil,56066,120,101151,56,115432,55,125846,56,0.47,2.2,467,1796,2103,2238,4.8,4765684.24,21561313.39,21561313.39,,,,95,92,47817,3090,55,32003,316,49580,430,69742,554,,,4.15,4,0.963855422,11470139.06
